Hanging	Foot	Nlon	Nlat	Ndepth	Nphi	Re	Rn	Strike	Dip	Mo Rate
NoCR	JdFa	234.255	46.996	5.25	0.126	-33.7	-16.4	349.9	6.2	1.70E+15
NoCR	JdFa	234.218	47.139	5.25	0.093	-33.9	-16.4	339	6.2	1.02E+15
NoCR	JdFa	234.171	47.222	5.25	0.093	-33.9	-16.4	339	6.2	7.61E+14
Olym	JdFa	234.125	47.304	5.25	0.079	-37.8	-22.3	339.1	6.2	6.45E+14
Olym	JdFa	234.079	47.387	5.25	0.079	-38	-22.4	339.1	6.2	6.44E+14
Olym	JdFa	234.032	47.469	5.25	0.09	-38.2	-22.5	331.6	6.4	9.13E+14
Olym	JdFa	233.936	47.589	5.25	0.09	-38.5	-22.7	331.7	6.7	1.06E+15
Olym	JdFa	233.841	47.709	5.25	0.165	-38.8	-22.9	331.7	7.1	1.83E+15
Olym	JdFa	233.745	47.829	5.25	0.165	-39.1	-23.1	331.8	7.5	1.72E+15
Olym	JdFa	233.649	47.949	5.25	0.218	-39.4	-23.3	329.9	8	2.10E+15
Olym	JdFa	233.553	48.06	5.25	0.218	-39.6	-23.6	329.9	8.4	1.94E+15
Olym	JdFa	233.456	48.172	5.25	0.253	-39.9	-23.8	330	8.7	2.15E+15
Olym	JdFa	233.36	48.283	5.25	0.253	-40.2	-24	330.1	9.1	2.05E+15
Olym	JdFa	233.263	48.395	5.25	0.27	-40.4	-24.2	328	9.5	2.28E+15
Olym	JdFa	233.144	48.521	5.25	0.27	-40.7	-24.5	328	9.8	2.39E+15
Olym	JdFa	233.024	48.648	5.25	0.262	-41	-24.8	328.1	10	2.26E+15
Olym	JdFa	232.904	48.775	5.25	0.262	-41.3	-25	328.1	10.2	2.21E+15
Olym	JdFa	232.785	48.902	5.25	0.269	-41.6	-25.3	325.4	10.4	2.13E+15
Olym	JdFa	232.668	49.013	5.25	0.269	-41.8	-25.6	325.4	10.5	2.00E+15
Olym	JdFa	232.552	49.124	5.25	0.284	-42.1	-25.8	325.5	10.5	2.10E+15
Olym	JdFa	232.435	49.235	5.25	0.284	-42.3	-26.1	325.6	10.5	2.09E+15
NoVI	JdFa	232.319	49.346	5.25	0.284	-43.4	-26.5	325.6	10.6	1.04E+15
WCCR	JdFa	235.203	40.401	7.5	0.579	-16.4	-2.8	351.4	4.5	4.07E+15
WCCR	JdFa	235.164	40.597	7.5	0.579	-16.6	-2.3	351.4	4.5	8.10E+15
WCCR	JdFa	235.125	40.792	7.5	0.57	-16.7	-1.9	351.4	4.6	7.89E+15
WCCR	JdFa	235.086	40.987	7.5	0.57	-16.9	-1.5	351.4	4.6	7.82E+15
ECCR	JdFa	235.047	41.183	7.5	0.454	-20.3	-11.7	356.8	4.6	6.31E+15
ECCR	JdFa	235.032	41.386	7.5	0.454	-20.4	-12.2	356.8	4.7	6.34E+15
